Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,Team
2011,AL East,69,93,5,5.31,4.89,162,3,7,32,1446.2,1568,860,786,210,535,1044,1.454,6.49,1.31,110,159,0.982,28.2,BAL
2010,AL East,66,96,5,4.85,4.59,162,3,7,35,1436.1,1508,785,733,186,520,1007,1.412,6.31,1.17,105,141,0.982,28.4,BAL
2009,AL East,64,98,5,5.41,5.15,162,2,3,31,1429.0,1633,876,817,218,546,933,1.525,5.88,1.37,90,151,0.985,28.1,BAL
2008,AL East,68,93,5,5.4,5.13,161,4,4,35,1422.0,1538,869,810,184,687,922,1.565,5.84,1.16,100,163,0.983,27.9,BAL
2007,AL East,69,93,4,5.36,5.17,162,4,9,30,1438.2,1491,868,827,161,696,1087,1.52,6.8,1.01,79,155,0.987,29.0,BAL
2006,AL East,70,92,4,5.55,5.35,162,5,9,35,1419.0,1579,899,843,216,613,1016,1.545,6.44,1.37,102,156,0.983,27.9,BAL
2005,AL East,74,88,4,4.94,4.56,162,2,9,38,1427.2,1458,800,724,180,580,1052,1.428,6.63,1.13,107,154,0.982,28.3,BAL
2004,AL East,78,84,3,5.12,4.7,162,8,10,27,1455.1,1488,830,760,159,687,1090,1.495,6.74,0.98,110,161,0.982,27.4,BAL
2003,AL East,71,91,4,5.03,4.76,163,9,3,41,1449.2,1579,820,767,198,526,981,1.452,6.09,1.23,105,164,0.983,29.2,BAL
2002,AL East,67,95,4,4.77,4.46,162,8,3,31,1450.2,1491,773,719,208,549,967,1.406,6.0,1.29,91,173,0.985,27.8,BAL
2001,AL East,63,98,4,5.12,4.67,162,10,6,31,1432.1,1504,829,744,194,528,938,1.419,5.89,1.22,125,137,0.979,27.6,BAL
2000,AL East,74,88,4,5.64,5.37,162,14,6,33,1433.1,1547,913,855,202,665,1017,1.543,6.39,1.27,116,151,0.981,29.1,BAL
1999,AL East,78,84,4,5.03,4.77,162,17,11,33,1435.0,1468,815,760,198,647,982,1.474,6.16,1.24,89,191,0.986,30.1,BAL
1998,AL East,79,83,4,4.85,4.74,162,16,10,37,1431.1,1505,785,754,169,535,1065,1.425,6.7,1.06,81,144,0.987,30.5,BAL
1997,AL East,98,64,1,4.2,3.91,162,8,10,59,1461.0,1404,681,635,164,563,1139,1.346,7.02,1.01,97,148,0.984,30.7,BAL
1996,AL East,88,74,2,5.54,5.14,163,13,1,44,1468.2,1604,903,839,209,597,1047,1.499,6.42,1.28,97,173,0.984,28.9,BAL
1995,AL East,71,73,3,4.44,4.31,144,19,10,29,1267.0,1165,640,607,149,523,930,1.332,6.61,1.06,72,141,0.986,29.3,BAL
1994,AL East,63,49,2,4.44,4.31,112,13,4,37,997.2,1005,497,478,131,351,666,1.359,6.01,1.18,57,103,0.986,29.1,BAL
1993,AL East,85,77,3,4.6,4.31,162,21,10,42,1442.2,1427,745,691,153,579,900,1.39,5.61,0.95,100,171,0.984,28.4,BAL
1992,AL East,89,73,3,4.05,3.79,162,20,16,48,1464.0,1419,656,616,124,518,846,1.323,5.2,0.76,93,168,0.985,27.9,BAL
1991,AL East,67,95,6,4.91,4.59,162,8,8,42,1457.2,1534,796,743,147,504,868,1.398,5.36,0.91,91,172,0.985,27.4,BAL
1990,AL East,76,85,5,4.34,4.04,161,10,5,43,1435.1,1445,698,644,161,537,776,1.381,4.87,1.01,93,151,0.985,26.2,BAL
1989,AL East,87,75,2,4.23,4.0,162,16,7,44,1448.1,1518,686,644,134,486,676,1.384,4.2,0.83,87,163,0.986,26.9,BAL
1988,AL East,54,107,7,4.9,4.54,161,20,7,26,1416.0,1506,789,714,153,523,709,1.433,4.51,0.97,119,172,0.98,27.3,BAL
1987,AL East,67,95,6,5.43,5.01,162,17,6,30,1439.2,1555,880,801,226,547,870,1.46,5.44,1.41,111,174,0.982,27.7,BAL
1986,AL East,73,89,7,4.69,4.3,162,17,6,39,1436.2,1451,760,687,177,535,954,1.382,5.98,1.11,135,163,0.978,28.8,BAL
1985,AL East,83,78,4,4.75,4.38,161,32,6,33,1427.1,1480,764,694,160,568,793,1.435,5.0,1.01,129,168,0.979,28.9,BAL
1984,AL East,85,77,5,4.12,3.71,162,48,13,32,1439.1,1393,667,594,137,512,714,1.324,4.46,0.86,123,166,0.981,28.6,BAL
1983,AL East,98,64,1,4.02,3.63,162,36,15,38,1452.1,1451,652,585,130,452,774,1.31,4.8,0.81,121,159,0.981,28.2,BAL
1982,AL East,94,68,2,4.21,3.99,163,38,8,34,1462.1,1436,687,648,147,488,719,1.316,4.43,0.9,101,140,0.984,29.5,BAL
1981,AL East,59,46,2,4.16,3.7,105,25,10,23,940.0,923,437,386,83,347,489,1.351,4.68,0.79,68,114,0.983,29.3,BAL
1980,AL East,100,62,2,3.95,3.64,162,42,10,41,1460.0,1438,640,591,134,507,789,1.332,4.86,0.83,95,178,0.985,28.8,BAL
1979,AL East,102,57,1,3.66,3.26,159,52,12,30,1434.1,1279,582,520,133,467,786,1.217,4.93,0.83,125,161,0.98,27.5,BAL
1978,AL East,90,71,4,3.93,3.56,161,65,16,33,1429.0,1340,633,566,107,509,754,1.294,4.75,0.67,110,166,0.982,26.8,BAL
1977,AL East,97,64,2,4.06,3.74,161,65,11,23,1451.0,1414,653,603,124,494,737,1.315,4.57,0.77,106,189,0.983,27.9,BAL
1976,AL East,88,74,2,3.69,3.32,162,59,16,23,1468.2,1396,598,541,80,489,678,1.283,4.15,0.49,118,157,0.982,28.8,BAL
1975,AL East,90,69,2,3.48,3.17,159,70,19,21,1451.0,1285,553,511,110,500,717,1.23,4.45,0.68,107,175,0.983,29.1,BAL
1974,AL East,91,71,1,3.78,3.27,162,57,16,25,1474.0,1393,612,536,101,480,701,1.271,4.28,0.62,128,174,0.98,28.7,BAL
1973,AL East,97,65,1,3.46,3.07,162,67,14,26,1461.2,1297,561,498,124,475,715,1.212,4.4,0.76,119,184,0.981,28.8,BAL
1972,AL East,80,74,3,2.79,2.53,154,62,20,21,1371.2,1116,430,386,85,395,788,1.102,5.17,0.56,100,150,0.983,28.8,BAL
1971,AL East,101,57,1,3.35,2.99,158,71,15,22,1415.1,1257,530,470,125,416,793,1.182,5.04,0.79,112,148,0.981,29.5,BAL
1970,AL East,108,54,1,3.54,3.15,162,60,12,31,1478.2,1317,574,517,139,469,941,1.208,5.73,0.85,117,148,0.981,28.5,BAL
1969,AL East,109,53,1,3.19,2.83,162,50,20,36,1473.2,1194,517,463,117,498,897,1.148,5.48,0.71,101,145,0.984,27.7,BAL
1968,AL,91,71,2,3.07,2.66,162,53,16,31,1451.0,1111,497,429,101,502,1044,1.112,6.48,0.63,120,131,0.981,25.9,BAL
1967,AL,76,85,6,3.68,3.32,161,29,17,36,1457.1,1218,592,538,116,566,1034,1.224,6.39,0.72,124,144,0.98,26.0,BAL
1966,AL,97,63,1,3.76,3.32,160,23,13,51,1466.1,1267,601,541,127,514,1070,1.215,6.57,0.78,115,142,0.981,25.7,BAL
1965,AL,94,68,3,3.57,2.98,162,32,15,41,1477.2,1268,578,490,120,510,939,1.203,5.72,0.73,126,152,0.98,27.4,BAL
1964,AL,97,65,3,3.48,3.16,163,44,17,42,1458.2,1292,567,512,129,456,939,1.198,5.79,0.8,95,159,0.985,27.9,BAL
1963,AL,86,76,4,3.83,3.45,162,35,8,43,1452.0,1353,621,557,137,507,913,1.281,5.66,0.85,99,157,0.984,28.0,BAL
1962,AL,77,85,7,4.2,3.69,162,32,8,33,1462.1,1373,680,600,147,549,898,1.314,5.53,0.9,122,152,0.98,28.0,BAL
1961,AL,95,67,3,3.61,3.22,163,54,21,33,1471.1,1226,588,526,109,617,926,1.253,5.66,0.67,128,173,0.98,27.0,BAL
1960,AL,89,65,2,3.94,3.52,154,48,11,23,1375.2,1222,606,538,117,552,785,1.29,5.14,0.77,108,172,0.982,25.4,BAL
1959,AL,74,80,6,4.01,3.56,155,45,15,30,1400.1,1290,621,554,111,476,735,1.261,4.72,0.71,146,163,0.976,27.4,BAL
1958,AL,74,79,6,3.73,3.4,154,55,15,29,1369.2,1277,575,517,106,403,749,1.227,4.92,0.7,114,159,0.98,27.9,BAL
1957,AL,76,76,5,3.82,3.46,154,44,13,26,1408.0,1272,588,542,95,493,767,1.254,4.9,0.61,112,159,0.981,29.9,BAL
1956,AL,69,85,6,4.58,4.2,154,38,10,24,1360.2,1362,705,635,99,547,715,1.403,4.73,0.65,137,142,0.977,30.0,BAL
1955,AL,57,97,7,4.83,4.21,156,35,10,24,1388.2,1403,754,650,103,625,595,1.46,3.86,0.67,167,159,0.972,30.7,BAL
1954,AL,54,100,7,4.34,3.88,154,58,6,9,1373.1,1279,668,592,78,688,668,1.432,4.38,0.51,147,152,0.975,28.2,BAL
1953,AL,54,100,8,5.05,4.48,154,28,10,23,1383.2,1467,778,688,101,626,639,1.513,4.16,0.66,152,165,0.974,31.0,BAL
1952,AL,64,90,7,4.73,4.12,155,48,6,18,1399.0,1388,733,640,111,598,581,1.42,3.74,0.71,155,176,0.974,31.0,BAL
1951,AL,52,102,8,5.73,5.18,154,56,5,10,1370.1,1525,882,788,132,801,550,1.697,3.61,0.87,172,179,0.971,27.7,BAL
1950,AL,58,96,7,5.95,5.2,154,56,7,14,1365.1,1629,916,789,129,651,448,1.67,2.95,0.85,196,155,0.967,27.0,BAL
1949,AL,53,101,7,5.89,5.21,155,43,3,16,1341.1,1583,913,777,113,685,432,1.691,2.9,0.76,166,154,0.971,28.5,BAL
1948,AL,59,94,6,5.48,5.01,155,35,4,21,1373.1,1513,849,764,103,737,531,1.638,3.48,0.68,168,190,0.972,26.4,BAL
1947,AL,59,95,8,4.83,4.33,154,50,7,13,1365.0,1426,744,656,103,604,552,1.487,3.64,0.68,134,169,0.977,29.4,BAL
1946,AL,66,88,7,4.55,3.95,156,63,13,12,1382.1,1465,710,607,73,573,574,1.474,3.74,0.48,159,157,0.974,29.6,BAL
1945,AL,81,70,3,3.56,3.14,154,91,10,7,1382.2,1307,548,483,59,506,570,1.311,3.71,0.38,143,123,0.976,30.9,BAL
1944,AL,89,65,1,3.81,3.17,154,71,16,17,1397.1,1392,587,492,58,469,581,1.332,3.74,0.37,171,142,0.972,30.6,BAL
1943,AL,72,80,6,3.95,3.41,153,64,10,14,1385.0,1397,604,525,74,488,572,1.361,3.72,0.48,152,127,0.975,32.4,BAL
1942,AL,82,69,3,4.22,3.59,151,68,12,13,1363.0,1387,637,544,63,505,488,1.388,3.22,0.42,167,143,0.972,31.7,BAL
1941,AL,70,84,6,5.24,4.72,157,65,7,11,1389.0,1563,823,728,120,549,454,1.521,2.94,0.78,151,156,0.975,29.7,BAL
1940,AL,67,87,6,5.65,5.12,156,64,4,9,1373.1,1592,882,782,113,646,439,1.63,2.88,0.74,158,179,0.974,29.8,BAL
1939,AL,43,111,8,6.63,6.01,156,56,3,4,1371.1,1724,1035,916,133,739,516,1.796,3.39,0.87,199,144,0.968,28.4,BAL
1938,AL,55,97,7,6.17,5.8,156,71,3,7,1344.2,1584,962,867,132,737,632,1.726,4.23,0.88,145,163,0.975,29.7,BAL
1937,AL,46,108,8,6.56,6.0,156,55,2,8,1363.0,1768,1023,909,143,653,468,1.776,3.09,0.94,173,166,0.972,30.3,BAL
1936,AL,57,95,7,6.86,6.24,155,54,3,13,1348.1,1776,1064,935,115,609,399,1.769,2.66,0.77,188,143,0.969,30.5,BAL
1935,AL,65,87,7,6.0,5.26,155,42,4,15,1380.1,1667,930,807,92,641,435,1.672,2.84,0.6,187,138,0.97,28.2,BAL
1934,AL,67,85,6,5.19,4.49,154,50,6,20,1350.0,1499,800,674,94,632,499,1.579,3.33,0.63,187,160,0.969,28.2,BAL
1933,AL,55,96,8,5.36,4.82,153,55,7,10,1360.2,1574,820,729,96,531,426,1.547,2.82,0.63,149,162,0.976,28.5,BAL
1932,AL,63,91,6,5.83,5.01,154,63,8,11,1376.2,1592,898,766,103,574,496,1.573,3.24,0.67,188,156,0.969,28.2,BAL
1931,AL,63,91,5,5.65,4.76,154,65,4,10,1362.0,1623,870,720,84,448,436,1.521,2.88,0.56,232,160,0.963,28.4,BAL
1930,AL,64,90,6,5.75,5.07,154,68,5,11,1371.2,1639,886,773,124,449,470,1.522,3.08,0.81,188,152,0.97,27.7,BAL
1929,AL,79,73,4,4.63,4.08,154,83,15,10,1371.0,1469,713,621,100,462,415,1.408,2.72,0.66,156,148,0.975,28.8,BAL
1928,AL,82,72,3,4.82,4.17,154,80,6,15,1374.1,1487,742,637,93,454,456,1.412,2.99,0.61,189,146,0.969,27.1,BAL
1927,AL,59,94,7,5.83,4.95,155,80,4,8,1353.1,1592,904,744,79,604,385,1.623,2.56,0.53,248,166,0.96,29.3,BAL
1926,AL,62,92,7,5.45,4.66,155,64,5,8,1368.0,1549,845,709,86,654,337,1.61,2.22,0.57,235,167,0.963,28.4,BAL
1925,AL,82,71,3,5.88,4.92,154,68,7,10,1379.2,1588,906,754,99,675,419,1.64,2.73,0.65,226,164,0.964,29.6,BAL
1924,AL,74,78,4,5.27,4.57,153,66,11,8,1353.1,1511,807,687,68,517,386,1.499,2.57,0.45,184,142,0.969,29.4,BAL
1923,AL,74,78,5,4.68,3.93,154,83,10,10,1373.1,1430,720,599,59,528,488,1.426,3.2,0.39,177,145,0.971,28.9,BAL
1922,AL,93,61,2,4.18,3.38,154,79,8,23,1392.0,1412,643,523,71,419,534,1.315,3.45,0.46,201,158,0.968,27.6,BAL
1921,AL,81,73,3,5.49,4.61,154,77,9,9,1379.0,1541,845,707,71,556,477,1.521,3.11,0.46,224,127,0.964,27.2,BAL
1920,AL,76,77,4,4.97,4.03,154,84,9,14,1378.2,1481,766,618,53,578,444,1.493,2.9,0.35,233,119,0.963,27.1,BAL
1919,AL,67,72,5,4.05,3.13,140,78,14,4,1256.0,1255,567,437,35,421,415,1.334,2.97,0.25,215,98,0.963,27.7,BAL
1918,AL,58,64,5,3.64,2.75,123,67,8,8,1111.1,993,448,340,11,402,346,1.255,2.8,0.09,190,86,0.963,26.8,BAL
1917,AL,57,97,7,4.43,3.2,155,66,12,12,1385.1,1320,687,493,19,537,429,1.34,2.79,0.12,281,139,0.957,27.5,BAL
1916,AL,79,75,5,3.45,2.58,158,74,9,13,1443.2,1292,545,414,15,478,505,1.226,3.15,0.09,248,120,0.963,28.0,BAL
1915,AL,63,91,6,4.28,3.04,159,76,6,6,1403.0,1256,680,474,21,612,566,1.331,3.63,0.13,336,144,0.949,25.3,BAL
1914,AL,71,82,5,3.87,2.85,159,81,15,9,1410.2,1309,615,446,20,540,553,1.311,3.53,0.13,317,114,0.952,24.6,BAL
1913,AL,57,96,8,4.14,3.06,155,104,14,5,1382.1,1369,642,470,21,454,476,1.319,3.1,0.14,301,125,0.954,23.6,BAL
1912,AL,53,101,7,4.87,3.71,157,85,8,5,1369.2,1433,764,564,17,442,547,1.369,3.59,0.11,341,127,0.947,25.8,BAL
1911,AL,45,107,8,5.34,3.86,152,92,8,1,1332.1,1465,812,571,28,463,383,1.447,2.59,0.19,358,104,0.945,27.4,BAL
1910,AL,47,107,8,4.7,3.09,158,101,9,3,1391.0,1356,743,478,14,532,557,1.357,3.6,0.09,385,113,0.943,27.1,BAL
1909,AL,61,89,7,3.73,2.88,154,105,21,4,1354.2,1287,575,433,16,383,620,1.233,4.12,0.11,267,107,0.958,28.4,BAL
1908,AL,83,69,4,3.12,2.15,155,107,15,5,1397.0,1151,483,333,7,387,607,1.101,3.91,0.05,237,97,0.964,29.5,BAL
1907,AL,69,83,6,3.58,2.61,155,129,15,9,1381.1,1254,555,400,17,352,463,1.163,3.02,0.11,266,97,0.959,29.2,BAL
1906,AL,76,73,5,3.24,2.23,154,133,17,5,1357.2,1132,499,336,14,314,558,1.065,3.7,0.09,290,80,0.954,28.1,BAL
1905,AL,54,99,8,3.9,2.74,156,134,11,2,1384.2,1245,608,421,19,389,633,1.18,4.11,0.12,296,78,0.955,27.6,BAL
1904,AL,65,87,6,3.87,2.83,156,135,13,1,1410.0,1335,604,443,25,333,577,1.183,3.68,0.16,267,78,0.96,26.8,BAL
1903,AL,65,74,6,3.78,2.77,139,124,12,3,1222.1,1220,525,376,26,237,511,1.192,3.76,0.19,268,94,0.953,27.7,BAL
1902,AL,78,58,2,4.34,3.34,140,120,7,2,1244.0,1273,607,461,36,343,348,1.299,2.52,0.26,274,122,0.953,26.8,BAL
1901,AL,48,89,8,5.96,4.06,139,107,3,3,1218.0,1383,828,549,32,395,376,1.46,2.78,0.24,393,106,0.934,26.1,BAL
2023,AL East,78,84,5,4.79,4.52,162,0,5,43,1430.0,1416,776,718,208,497,1423,1.338,8.96,1.31,102,137,0.982,30.0,BOS
2022,AL East,78,84,5,4.86,4.53,162,5,10,39,1431.0,1411,787,721,185,526,1346,1.354,8.47,1.16,85,134,0.985,30.2,BOS
2021,AL East,92,70,2,4.62,4.26,162,0,7,49,1419.0,1409,749,671,176,546,1527,1.378,9.68,1.12,108,143,0.981,29.7,BOS
2020,AL East,24,36,5,5.85,5.58,60,0,2,14,524.0,587,351,325,98,252,537,1.601,9.22,1.68,45,59,0.979,29.1,BOS
2019,AL East,84,78,3,5.11,4.7,162,1,8,33,1471.0,1423,828,768,215,605,1633,1.379,9.99,1.32,88,115,0.985,29.0,BOS
2018,AL East,108,54,1,3.99,3.75,162,2,14,46,1458.2,1305,647,608,176,512,1558,1.246,9.61,1.09,77,106,0.987,28.9,BOS
2017,AL East,93,69,1,4.12,3.7,162,5,11,39,1482.1,1384,668,610,195,465,1580,1.247,9.59,1.18,107,126,0.982,28.4,BOS
2016,AL East,93,69,1,4.28,4.0,162,9,5,43,1439.2,1342,694,640,176,490,1362,1.273,8.51,1.1,75,139,0.987,29.0,BOS
2015,AL East,78,84,5,4.65,4.31,162,3,10,40,1448.1,1486,753,694,178,478,1218,1.356,7.57,1.11,97,148,0.984,28.6,BOS
2014,AL East,71,91,5,4.41,4.01,162,3,7,36,1465.2,1458,715,653,154,482,1213,1.324,7.45,0.95,92,155,0.985,29.9,BOS
2013,AL East,97,65,1,4.05,3.79,162,5,8,33,1454.0,1366,656,613,156,524,1294,1.3,8.01,0.97,80,142,0.987,30.2,BOS
2012,AL East,69,93,5,4.98,4.7,162,6,4,35,1443.0,1449,806,754,190,529,1176,1.371,7.33,1.19,101,159,0.983,28.7,BOS
2011,AL East,90,72,3,4.55,4.2,162,2,13,36,1457.1,1366,737,680,156,540,1213,1.308,7.49,0.96,92,120,0.985,30.3,BOS
2010,AL East,89,73,3,4.59,4.2,162,3,9,44,1456.2,1402,744,679,152,580,1207,1.361,7.46,0.94,111,132,0.982,29.6,BOS
2009,AL East,95,67,2,4.54,4.35,162,8,11,41,1436.2,1494,736,695,167,530,1230,1.409,7.71,1.05,82,121,0.986,29.8,BOS
2008,AL East,95,67,2,4.28,4.01,162,5,16,47,1446.1,1369,694,645,147,548,1185,1.325,7.37,0.91,85,149,0.986,29.2,BOS
2007,AL East,96,66,1,4.06,3.87,162,5,13,45,1438.2,1350,657,618,151,482,1149,1.273,7.19,0.94,81,145,0.986,31.1,BOS
2006,AL East,86,76,3,5.09,4.83,162,3,6,46,1441.1,1570,825,773,181,509,1070,1.442,6.68,1.13,66,174,0.989,31.1,BOS
2005,AL East,95,67,2,4.97,4.74,162,6,8,38,1429.0,1550,805,752,164,440,959,1.393,6.04,1.03,109,135,0.982,33.6,BOS
2004,AL East,98,64,2,4.74,4.18,162,4,12,36,1451.1,1430,768,674,159,447,1132,1.293,7.02,0.99,118,129,0.981,32.5,BOS
2003,AL East,95,67,2,4.99,4.48,162,5,6,36,1464.2,1503,809,729,153,488,1141,1.359,7.01,0.94,113,130,0.982,31.2,BOS
2002,AL East,93,69,2,4.1,3.75,162,5,17,51,1446.0,1339,665,603,146,430,1157,1.223,7.2,0.91,104,140,0.983,31.1,BOS
2001,AL East,82,79,2,4.63,4.15,161,3,9,48,1448.0,1412,745,667,146,544,1259,1.351,7.83,0.91,113,129,0.981,30.9,BOS
2000,AL East,85,77,2,4.6,4.23,162,7,12,46,1452.2,1433,745,683,173,498,1121,1.329,6.95,1.07,109,120,0.982,30.2,BOS
1999,AL East,94,68,2,4.43,4.0,162,6,12,50,1436.2,1396,718,638,160,469,1131,1.298,7.09,1.0,127,132,0.979,30.1,BOS
1998,AL East,92,70,2,4.5,4.18,162,5,8,53,1436.0,1406,729,667,168,504,1025,1.33,6.42,1.05,105,128,0.983,29.5,BOS
1997,AL East,78,84,4,5.29,4.85,162,7,4,40,1451.2,1569,857,782,149,611,987,1.502,6.12,0.92,135,179,0.978,27.8,BOS
1996,AL East,85,77,3,5.69,4.98,162,17,5,37,1458.0,1606,921,807,185,722,1165,1.597,7.19,1.14,135,152,0.978,28.7,BOS
1995,AL East,86,58,1,4.85,4.39,144,7,9,39,1292.2,1338,698,631,127,476,888,1.403,6.18,0.88,120,151,0.978,29.1,BOS
1994,AL East,54,61,4,5.4,4.93,115,6,3,30,1029.1,1104,621,564,120,450,729,1.51,6.37,1.05,81,124,0.981,30.2,BOS
1993,AL East,80,82,5,4.31,3.77,162,9,11,44,1452.1,1379,698,609,127,552,997,1.33,6.18,0.79,122,155,0.98,30.6,BOS
1992,AL East,73,89,7,4.13,3.58,162,22,13,39,1448.2,1403,669,577,107,535,943,1.338,5.86,0.66,139,170,0.978,31.5,BOS
1991,AL East,84,78,2,4.4,4.01,162,15,13,45,1439.2,1405,712,642,147,530,999,1.344,6.25,0.92,116,165,0.981,30.8,BOS
1990,AL East,88,74,1,4.1,3.72,162,15,13,44,1442.0,1439,664,596,92,519,997,1.358,6.22,0.57,123,154,0.98,30.6,BOS
1989,AL East,83,79,3,4.54,4.01,162,14,9,42,1460.1,1448,735,650,131,548,1054,1.367,6.5,0.81,127,162,0.98,29.5,BOS
1988,AL East,89,73,1,4.25,3.97,162,26,14,37,1426.1,1415,689,629,143,493,1085,1.338,6.85,0.9,93,123,0.984,28.7,BOS
1987,AL East,78,84,5,5.09,4.77,162,47,13,16,1436.0,1584,825,761,190,517,1034,1.463,6.48,1.19,110,158,0.982,27.1,BOS
1986,AL East,95,66,1,4.32,3.93,161,36,6,41,1429.2,1469,696,625,167,474,1033,1.359,6.5,1.05,129,146,0.979,28.0,BOS
1985,AL East,81,81,5,4.42,4.06,163,35,8,29,1461.1,1487,720,659,130,540,913,1.387,5.62,0.8,145,161,0.977,26.8,BOS
1984,AL East,86,76,4,4.72,4.18,162,40,12,32,1442.0,1524,764,669,141,517,927,1.415,5.79,0.88,143,128,0.977,25.8,BOS
1983,AL East,78,84,6,4.78,4.34,162,29,7,42,1446.1,1572,775,697,158,493,767,1.428,4.77,0.98,130,168,0.979,26.8,BOS
1982,AL East,89,73,3,4.4,4.03,162,23,11,33,1453.0,1557,713,651,155,478,816,1.401,5.05,0.96,121,172,0.981,28.2,BOS
1981,AL East,59,49,5,4.45,3.81,108,19,4,24,987.1,983,481,418,90,354,536,1.354,4.89,0.82,91,108,0.979,27.9,BOS
1980,AL East,83,77,5,4.79,4.38,160,30,8,43,1441.1,1557,767,701,129,481,696,1.414,4.35,0.81,149,206,0.977,29.5,BOS
1979,AL East,91,69,3,4.44,4.03,160,47,11,29,1431.1,1487,711,641,133,463,731,1.362,4.6,0.84,142,166,0.977,28.4,BOS
1978,AL East,99,64,2,4.03,3.54,163,57,15,26,1472.2,1530,657,579,137,464,706,1.354,4.31,0.84,146,171,0.977,29.2,BOS
1977,AL East,97,64,2,4.42,4.11,161,40,13,40,1428.0,1555,712,652,158,378,758,1.354,4.78,1.0,133,162,0.978,29.4,BOS
1976,AL East,83,79,3,4.07,3.52,162,49,13,27,1458.0,1495,660,571,109,409,673,1.306,4.15,0.67,141,148,0.978,29.5,BOS
1975,AL East,95,65,1,4.43,3.98,160,62,11,31,1436.2,1463,709,636,145,490,720,1.359,4.51,0.91,139,142,0.977,28.8,BOS
1974,AL East,84,78,3,4.08,3.72,162,71,12,18,1455.1,1462,661,601,126,463,751,1.323,4.64,0.78,145,156,0.977,29.2,BOS
1973,AL East,89,73,2,3.99,3.65,162,67,10,33,1440.1,1417,647,584,158,499,808,1.33,5.05,0.99,127,162,0.979,28.3,BOS
1972,AL East,85,70,2,4.0,3.47,155,48,20,25,1382.2,1309,620,533,101,512,918,1.317,5.98,0.66,130,141,0.978,28.9,BOS
1971,AL East,85,77,3,4.12,3.8,162,44,11,35,1443.0,1424,667,610,136,535,871,1.358,5.43,0.85,116,149,0.981,29.1,BOS
1970,AL East,87,75,3,4.46,3.87,162,38,8,44,1446.1,1391,722,622,156,594,1003,1.372,6.24,0.97,156,131,0.974,27.9,BOS
1969,AL East,87,75,3,4.54,3.92,162,30,7,41,1466.2,1423,736,639,155,685,935,1.437,5.74,0.95,157,178,0.975,26.5,BOS
1968,AL,86,76,4,3.77,3.33,162,55,17,31,1447.0,1303,611,536,115,523,972,1.262,6.05,0.72,128,147,0.979,27.3,BOS
1967,AL,92,70,1,3.79,3.36,162,41,9,44,1459.1,1307,614,545,142,477,1010,1.222,6.23,0.88,142,142,0.977,27.2,BOS
1966,AL,72,90,9,4.51,3.92,162,32,10,32,1463.2,1402,731,637,164,577,977,1.352,6.01,1.01,155,153,0.975,27.4,BOS
1965,AL,62,100,9,4.88,4.24,162,33,9,25,1439.1,1443,791,678,158,543,993,1.38,6.21,0.99,162,129,0.974,26.3,BOS
1964,AL,72,90,8,4.9,4.5,162,21,9,37,1422.0,1464,793,711,178,571,1094,1.431,6.92,1.13,138,123,0.977,25.6,BOS
1963,AL,76,85,7,4.37,3.97,161,29,7,30,1449.2,1367,704,640,152,539,1009,1.315,6.26,0.94,135,119,0.978,26.2,BOS
1962,AL,76,84,8,4.73,4.22,160,34,12,40,1437.2,1416,756,674,159,632,923,1.425,5.78,1.0,131,152,0.979,27.6,BOS
1961,AL,76,86,6,4.86,4.29,163,35,6,30,1442.2,1472,792,688,167,679,831,1.491,5.18,1.04,144,170,0.977,27.6,BOS
1960,AL,65,89,7,5.03,4.62,154,34,6,22,1361.0,1440,775,699,127,580,767,1.484,5.07,0.84,141,156,0.976,27.6,BOS
1959,AL,75,79,5,4.52,4.17,154,38,9,25,1364.0,1386,696,632,135,589,724,1.448,4.78,0.89,131,167,0.978,26.7,BOS
1958,AL,79,75,3,4.46,3.92,155,44,5,28,1380.0,1396,691,601,121,521,695,1.389,4.53,0.79,145,172,0.976,27.2,BOS
1957,AL,82,72,3,4.34,3.88,154,55,9,23,1376.2,1391,668,593,116,498,692,1.372,4.52,0.76,149,179,0.976,27.0,BOS
1956,AL,84,70,4,4.85,4.17,155,50,8,20,1398.0,1354,751,647,130,668,712,1.446,4.58,0.84,169,168,0.972,27.5,BOS
1955,AL,84,70,4,4.23,3.72,154,44,9,34,1384.1,1333,652,572,128,582,674,1.383,4.38,0.83,136,140,0.977,26.7,BOS
1954,AL,69,85,4,4.67,4.01,156,41,10,22,1412.1,1434,728,630,118,612,707,1.449,4.51,0.75,176,163,0.972,27.3,BOS
1953,AL,84,69,4,4.13,3.58,153,41,15,37,1373.0,1333,632,546,92,584,642,1.396,4.21,0.6,148,173,0.975,29.6,BOS
1952,AL,76,78,6,4.27,3.8,154,53,7,24,1372.1,1332,658,580,107,623,624,1.425,4.09,0.7,145,181,0.976,29.5,BOS
1951,AL,87,67,3,4.71,4.14,154,46,7,26,1399.0,1413,725,643,99,599,658,1.438,4.23,0.64,141,184,0.977,27.5,BOS
1950,AL,94,60,3,5.22,4.88,154,66,6,28,1362.1,1413,804,739,121,748,630,1.586,4.16,0.8,111,181,0.981,27.9,BOS
1949,AL,96,58,2,4.3,3.97,155,84,16,16,1377.0,1375,667,608,82,661,598,1.479,3.91,0.54,120,207,0.98,28.7,BOS
